product_title,cantidad_reseñas,promedio_score
LitterMaid LME9000 Elite Mega Advanced Automatic Self-Cleaning Litter Box,452,1.7
"PetSafe Ultrasonic Indoor Bark Control, PBC-1000",378,2.44
Lentek Bark Free Dog Training Device,227,2.78
Super Pet CritterTrail Extreme Challenge Habitat,204,2.84
LitterMaid Cat Privacy Tent,161,2.5
Multipet Nobbly Wobbly Ball Large Dog Toy,134,2.49
"PetSafe Deluxe Little-Dog Bark Control Collar, PBC00-10782",98,2.52
Perky-Pet 220 The Grand Master 48-Ounce Hummingbird Feeder,97,2.89
"Kyjen Fire Hose Squeak 'n Fetch Dog Toy, Large, Red",88,2.67
Viatek BC16G Super Bark Stop,85,2.33
Hartz UltraGuard Flea & Tick Drops For Dogs,84,1.85
"Sentry HC Petromalt Malt Flavored Cat Hairball Treatment, 4.4-Ounce",82,2.77
Quick Finder Nail Clipper,82,1.74
Drinkwell Aqua Garden,81,2.62
Firstrax 6-Foot Glo'n Go Leash,78,2.69
Dog Boots,74,2.92
Kong Tug Toy 16 In,71,2.34
Multipet Ba-Da-Beam Rotating Laser Cat Toy,64,2.75
Urine Off Urine Finder Mini LED Light,64,2.97
"PetSafe Staywell Big Cat 4-Way Locking Flap, White",62,1.53
Super Pet Giant Chinchilla Run-About 11-1/2-Inch Exercise Ball,60,1.87
World's Best Cat Litter (17-lb bag),60,2.92
Super Pet Ferret Comfort Harness and Stretchy Leash,58,2.72
"Ethical Laser Flashing Ball Dog Toy with Sound, 2-1/2-Inch",56,2.77
Marina Betta Pals Kit,56,2.66
"Simple Solution Puppy Aid Training Spray, 8 Ounces",55,2.47
Fire Hose Squeak Dog Toy,52,2.6
Cat Mate C50 Automatic Pet Feeder,52,2.87
NaturVet Bitter Yuck No Chew Spray,50,1.94
Squirrel-Be-Gone III Bird Feeder,50,2.28
